filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
Picture1.png,407824,"{}",13,0,"{""name"":""rect"",""x"":78,""y"":265,""width"":23,""height"":97}","{}"
Picture1.png,407824,"{}",13,1,"{""name"":""rect"",""x"":114,""y"":257,""width"":18,""height"":109}","{}"
Picture1.png,407824,"{}",13,2,"{""name"":""rect"",""x"":145,""y"":252,""width"":18,""height"":117}","{}"
Picture1.png,407824,"{}",13,3,"{""name"":""rect"",""x"":171,""y"":248,""width"":15,""height"":126}","{}"
Picture1.png,407824,"{}",13,4,"{""name"":""rect"",""x"":192,""y"":243,""width"":18,""height"":134}","{}"
Picture1.png,407824,"{}",13,5,"{""name"":""rect"",""x"":825,""y"":310,""width"":29,""height"":25}","{}"
Picture1.png,407824,"{}",13,6,"{""name"":""rect"",""x"":915,""y"":331,""width"":34,""height"":21}","{}"
Picture1.png,407824,"{}",13,7,"{""name"":""rect"",""x"":961,""y"":328,""width"":39,""height"":21}","{}"
Picture1.png,407824,"{}",13,8,"{""name"":""polygon"",""all_points_x"":[1136,1153,1161,1149],""all_points_y"":[225,219,248,254]}","{}"
Picture1.png,407824,"{}",13,9,"{""name"":""polygon"",""all_points_x"":[1144,1130,1141,1155],""all_points_y"":[354,372,382,363]}","{}"
Picture1.png,407824,"{}",13,10,"{""name"":""polygon"",""all_points_x"":[1104,1108,1134,1130],""all_points_y"":[376,394,384,368]}","{}"
Picture1.png,407824,"{}",13,11,"{""name"":""polygon"",""all_points_x"":[1130,1126,1142,1148],""all_points_y"":[196,205,214,205]}","{}"
Picture1.png,407824,"{}",13,12,"{""name"":""polygon"",""all_points_x"":[1091,1085,1119,1122],""all_points_y"":[184,196,207,195]}","{}"
