filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
Picture1.png,407824,"{}",24,0,"{""name"":""polygon"",""all_points_x"":[221,246,229,206],""all_points_y"":[234,263,271,242]}","{}"
Picture1.png,407824,"{}",24,1,"{""name"":""polygon"",""all_points_x"":[268,300,286,255],""all_points_y"":[229,257,268,245]}","{}"
Picture1.png,407824,"{}",24,2,"{""name"":""polygon"",""all_points_x"":[247,274,273,246],""all_points_y"":[301,304,320,316]}","{}"
Picture1.png,407824,"{}",24,3,"{""name"":""polygon"",""all_points_x"":[296,296,339,339],""all_points_y"":[300,319,320,301]}","{}"
Picture1.png,407824,"{}",24,4,"{""name"":""polygon"",""all_points_x"":[345,345,398,396],""all_points_y"":[303,322,323,302]}","{}"
Picture1.png,407824,"{}",24,5,"{""name"":""polygon"",""all_points_x"":[416,416,554,556],""all_points_y"":[293,321,325,293]}","{}"
Picture1.png,407824,"{}",24,6,"{""name"":""polygon"",""all_points_x"":[589,588,709,707],""all_points_y"":[300,324,322,299]}","{}"
Picture1.png,407824,"{}",24,7,"{""name"":""polygon"",""all_points_x"":[779,862,864,782],""all_points_y"":[293,307,290,282]}","{}"
Picture1.png,407824,"{}",24,8,"{""name"":""polygon"",""all_points_x"":[226,198,212,243],""all_points_y"":[349,382,390,361]}","{}"
Picture1.png,407824,"{}",24,9,"{""name"":""polygon"",""all_points_x"":[276,247,262,291],""all_points_y"":[352,380,390,364]}","{}"
Picture1.png,407824,"{}",24,10,"{""name"":""polygon"",""all_points_x"":[477,406,418,488],""all_points_y"":[333,376,392,351]}","{}"
Picture1.png,407824,"{}",24,11,"{""name"":""polygon"",""all_points_x"":[487,491,559,556],""all_points_y"":[341,358,347,329]}","{}"
Picture1.png,407824,"{}",24,12,"{""name"":""polygon"",""all_points_x"":[586,590,670,666],""all_points_y"":[353,369,360,339]}","{}"
Picture1.png,407824,"{}",24,13,"{""name"":""polygon"",""all_points_x"":[807,748,759,816],""all_points_y"":[344,375,390,363]}","{}"
Picture1.png,407824,"{}",24,14,"{""name"":""polygon"",""all_points_x"":[843,816,825,853],""all_points_y"":[343,363,375,353]}","{}"
Picture1.png,407824,"{}",24,15,"{""name"":""polygon"",""all_points_x"":[1018,938,901,895,899,925,947,1020],""all_points_y"":[337,369,375,402,424,417,384,356]}","{}"
Picture1.png,407824,"{}",24,16,"{""name"":""polygon"",""all_points_x"":[844,894,959,967,1051,1055,1038,979,967,930,908,887,876,863,848],""all_points_y"":[229,263,272,266,282,257,263,253,238,249,253,243,229,221,221]}","{}"
Picture1.png,407824,"{}",24,17,"{""name"":""polygon"",""all_points_x"":[1075,1052,1033,1007,979,958,951,939,932,922,921,927,935,946,963,989,1011,1029,1041,1063,1079,1090,1088],""all_points_y"":[393,408,430,448,461,459,463,473,481,484,473,457,445,447,445,439,428,411,398,384,382,382,393]}","{}"
Picture1.png,407824,"{}",24,18,"{""name"":""polygon"",""all_points_x"":[479,472,596,601],""all_points_y"":[227,252,286,265]}","{}"
Picture1.png,407824,"{}",24,19,"{""name"":""polygon"",""all_points_x"":[711,717,610,605],""all_points_y"":[298,282,237,257]}","{}"
Picture1.png,407824,"{}",24,20,"{""name"":""polygon"",""all_points_x"":[699,693,716,722],""all_points_y"":[254,268,279,268]}","{}"
Picture1.png,407824,"{}",24,21,"{""name"":""polygon"",""all_points_x"":[758,754,781,785],""all_points_y"":[267,281,291,276]}","{}"
Picture1.png,407824,"{}",24,22,"{""name"":""polygon"",""all_points_x"":[731,739,761,811,835,888,946,1040,1047,1043,1007,971,930,891,842,808,784,756,738,722,720,716,715],""all_points_y"":[158,173,175,171,165,163,153,187,192,210,205,191,179,184,183,189,198,193,186,178,174,173,166]}","{}"
Picture1.png,407824,"{}",24,23,"{""name"":""polygon"",""all_points_x"":[844,838,878,883],""all_points_y"":[259,281,287,267]}","{}"
